sample_num,level,sample_path,sample_gt
0,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_12_sample_51/1000-1600.webm,no
1,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_20_sample_89/1000-1600.webm,yes
2,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_26_sample_6/1000-1600.webm,no
3,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_18_sample_73/1000-1600.webm,yes
4,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_50_sample_54/1000-1600.webm,no
5,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_26_sample_97/1000-1600.webm,no
6,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_33_sample_92/1000-1600.webm,no
7,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_33_sample_14/1000-1600.webm,yes
8,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_19_sample_68/1000-1600.webm,yes
9,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_17_sample_72/1000-1600.webm,yes
10,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_41_sample_36/1000-1600.webm,yes
11,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_44_sample_36/1000-1600.webm,no
12,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_21_sample_96/1000-1600.webm,no
13,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_50_sample_23/1000-1600.webm,yes
14,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_10_sample_13/1000-1600.webm,yes
15,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_28_sample_87/1000-1600.webm,no
16,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_8_sample_13/1000-1600.webm,no
17,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_32_sample_18/1000-1600.webm,yes
18,base,./home/kalpit/pfind-new/vids/5/curv_contour_length_14_imgs_35_sample_41/1000-1600.webm,no
