sample_num,level,sample_path,sample_gt
0,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_48_sample_57/1000-800.webm,no
1,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_45_sample_17/1000-800.webm,yes
2,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_19_sample_23/1000-800.webm,no
3,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_14_sample_41/1000-800.webm,no
4,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_19_sample_14/1000-800.webm,yes
5,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_20_sample_67/1000-800.webm,yes
6,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_46_sample_36/1000-800.webm,yes
7,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_36_sample_96/1000-800.webm,no
8,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_41_sample_78/1000-800.webm,no
9,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_10_sample_68/1000-800.webm,no
10,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_41_sample_90/1000-800.webm,yes
11,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_21_sample_61/1000-800.webm,no
12,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_48_sample_60/1000-800.webm,yes
13,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_13_sample_48/1000-800.webm,yes
14,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_41_sample_14/1000-800.webm,yes
15,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_44_sample_80/1000-800.webm,yes
16,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_20_sample_4/1000-800.webm,no
17,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_1_sample_88/1000-800.webm,no
18,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_33_sample_37/1000-800.webm,yes
19,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_24_sample_96/1000-800.webm,yes
20,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_46_sample_9/1000-800.webm,no
21,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_20_sample_74/1000-800.webm,no
22,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_34_sample_40/1000-800.webm,no
23,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_33_sample_64/1000-800.webm,yes
24,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_46_sample_55/1000-800.webm,no
25,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_10_sample_51/1000-800.webm,yes
26,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_15_sample_39/1000-800.webm,yes
27,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_43_sample_45/1000-800.webm,no
28,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_13_sample_29/1000-800.webm,no
29,base,./home/kalpit/pfind-new/vids/20/curv_baseline_imgs_49_sample_36/1000-800.webm,yes
0,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_3_sample_32/1000-800.webm,no
1,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_20_sample_97/1000-800.webm,no
2,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_32_sample_26/1000-800.webm,yes
3,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_29_sample_82/1000-800.webm,no
4,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_6_sample_54/1000-800.webm,yes
5,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_25_sample_81/1000-800.webm,yes
6,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_1_sample_71/1000-800.webm,yes
7,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_49_sample_11/1000-800.webm,no
8,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_45_sample_63/1000-800.webm,no
9,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_46_sample_46/1000-800.webm,yes
10,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_22_sample_36/1000-800.webm,yes
11,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_41_sample_53/1000-800.webm,no
12,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_9_sample_25/1000-800.webm,no
13,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_28_sample_86/1000-800.webm,yes
14,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_47_sample_73/1000-800.webm,no
15,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_49_sample_9/1000-800.webm,no
16,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_6_sample_0/1000-800.webm,yes
17,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_10_sample_70/1000-800.webm,no
18,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_34_sample_57/1000-800.webm,yes
19,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_49_sample_21/1000-800.webm,no
20,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_15_sample_57/1000-800.webm,yes
21,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_2_sample_32/1000-800.webm,yes
22,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_48_sample_41/1000-800.webm,no
23,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_21_sample_87/1000-800.webm,yes
24,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_49_sample_51/1000-800.webm,yes
25,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_37_sample_46/1000-800.webm,no
26,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_34_sample_74/1000-800.webm,yes
27,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_41_sample_72/1000-800.webm,no
28,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_44_sample_63/1000-800.webm,no
29,lev1,./home/kalpit/pfind-new/vids/20/curv_contour_length_14_imgs_15_sample_91/1000-800.webm,yes
0,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_7_sample_96/1000-800.webm,no
1,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_30_sample_15/1000-800.webm,yes
2,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_13_sample_76/1000-800.webm,no
3,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_27_sample_5/1000-800.webm,no
4,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_25_sample_8/1000-800.webm,yes
5,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_6_sample_37/1000-800.webm,yes
6,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_13_sample_4/1000-800.webm,no
7,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_32_sample_76/1000-800.webm,yes
8,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_14_sample_32/1000-800.webm,no
9,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_10_sample_29/1000-800.webm,yes
10,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_12_sample_68/1000-800.webm,no
11,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_11_sample_13/1000-800.webm,yes
12,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_7_sample_7/1000-800.webm,yes
13,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_22_sample_58/1000-800.webm,no
14,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_44_sample_62/1000-800.webm,yes
15,lev2,./home/kalpit/pfind-new/vids/20/curv_contour_length_9_imgs_48_sample_42/1000-800.webm,no
