sample_num,level,sample_path,sample_gt
0,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_34_sample_67,no
1,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_8_sample_27,no
2,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_40_sample_49,no
3,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_33_sample_40,no
4,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_1_sample_5,yes
5,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_47_sample_37,yes
6,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_28_sample_90,no
7,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_19_sample_7,yes
8,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_38_sample_88,yes
9,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_6_sample_26,yes
10,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_2_sample_61,no
11,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_28_sample_84,no
12,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_9_sample_5,yes
13,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_42_sample_18,yes
14,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_21_sample_52,no
15,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_5_sample_61,yes
16,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_26_sample_83,no
17,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_22_sample_71,no
18,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_15_sample_2,yes
19,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_20_sample_73,no
20,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_3_sample_40,no
21,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_21_sample_85,no
22,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_15_sample_89,yes
23,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_35_sample_12,yes
24,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_26_sample_63,no
25,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_4_sample_57,yes
26,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_27_sample_34,yes
27,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_50_sample_8,yes
28,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_19_sample_29,no
29,base,./home/kalpit/pfind-new/vids/24/curv_contour_length_14_imgs_42_sample_67,yes
0,lev1,./home/kalpit/pfind-new/vids/24/curv_contour_length_9_imgs_37_sample_18,no
1,lev1,./home/kalpit/pfind-new/vids/24/curv_contour_length_9_imgs_50_sample_74,yes
2,lev1,./home/kalpit/pfind-new/vids/24/curv_contour_length_9_imgs_18_sample_33,no
3,lev1,./home/kalpit/pfind-new/vids/24/curv_contour_length_9_imgs_26_sample_8,yes
4,lev1,./home/kalpit/pfind-new/vids/24/curv_contour_length_9_imgs_39_sample_40,yes
