sample_num,level,sample_path,sample_gt
0,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_12,yes
1,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_43,no
2,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_73,no
3,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_13,yes
4,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_18,yes
5,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_80,no
6,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_87,no
7,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_36,yes
8,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_73,yes
9,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_32,yes
10,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_85,no
11,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_37,yes
12,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_53,no
13,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_59,no
14,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_81,no
15,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_70,no
16,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_29,no
17,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_81,no
18,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_6,yes
19,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_34,no
20,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_21,yes
21,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_30,no
22,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_71,yes
23,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_39,yes
24,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_11,yes
25,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_60,yes
26,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_14_sample_93,yes
27,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_35,no
28,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_14,no
29,base,./home/kalpit/pfind-try/vids/6/curv_contour_length_14_imgs_2_sample_69,yes
0,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_27,yes
1,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_58,no
2,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_61,no
3,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_93,no
4,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_4,yes
5,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_28,yes
6,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_93,no
7,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_33,no
8,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_85,no
9,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_73,no
10,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_74,yes
11,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_59,yes
12,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_60,yes
13,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_81,yes
14,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_95,yes
15,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_75,yes
16,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_40,yes
17,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_82,no
18,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_35,no
19,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_57,no
20,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_90,yes
21,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_29,yes
22,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_50,no
23,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_60,yes
24,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_97,no
25,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_98,no
26,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_90,no
27,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_69,yes
28,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_14_sample_30,yes
29,lev1,./home/kalpit/pfind-try/vids/6/curv_contour_length_9_imgs_2_sample_37,no
0,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_81,no
1,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_47,no
2,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_21,yes
3,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_27,no
4,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_48,yes
5,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_20,no
6,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_14,yes
7,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_21,yes
8,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_48,no
9,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_87,no
10,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_78,yes
11,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_60,yes
12,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_60,no
13,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_99,yes
14,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_66,no
15,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_64,no
16,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_24,no
17,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_33,yes
18,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_84,no
19,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_13,yes
20,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_11,no
21,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_58,no
22,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_43,no
23,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_5,no
24,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_31,yes
25,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_67,yes
26,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_33,yes
27,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_52,yes
28,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_2_sample_88,yes
29,lev2,./home/kalpit/pfind-try/vids/6/curv_baseline_imgs_14_sample_12,yes
